code name index_code
330105 家电零部件 851115
330200 视听器材 801112
330201 彩电 851121
330202 其它视听器材 851122
360000 轻工制造 801140
360100 造纸 801143
360101 造纸 851411
360200 包装印刷 801141
360201 包装印刷 851421
360300 家用轻工 801142
360302 家具 851432
360303 其他家用轻工 851433
360304 珠宝首饰 851434
360305 文娱用品 851435
360400 其他轻工制造 801144
360401 其他轻工制造 851441
110000 农林牧渔 801010
110100 种植业 801016
110101 种子生产 850111
110102 粮食种植 850112
110103 其他种植业 850113
110200 渔业 801015
110201 海洋捕捞 850121
110202 水产养殖 850122
110300 林业 801011
110301 林业 850131
110400 饲料 801014
110401 饲料 850141
110500 农产品加工 801012
110501 果蔬加工 850151
110502 粮油加工 850152
110504 其他农产品加工 850154
110600 农业综合 801013
110601 农业综合 850161
110700 畜禽养殖 801017
110701 畜禽养殖 850171
110800 动物保健 801018
110801 动物保健 850181
340000 食品饮料 801120
340300 饮料制造 801123
340301 白酒 851231
340302 啤酒 851232
340303 其他酒类 851233
340304 软饮料 851234
340305 葡萄酒 851235
340306 黄酒 851236
340400 食品加工 801124
340401 肉制品 851241
340402 调味发酵品 851242
340403 乳品 851243
340404 食品综合 851244
350000 纺织服装 801130
350100 纺织制造 801131
350101 毛纺 851311
350102 棉纺 851312
350103 丝绸 851313
350104 印染 851314
350105 辅料 851315
350106 其他纺织 851316
350200 服装家纺 801132
350202 男装 851322
350203 女装 851323
350204 休闲服装 851324
350205 鞋帽 851325
350206 家纺 851326
350207 其他服装 851327
370000 医药生物 801150
370100 化学制药 801151
370101 化学原料药 851511
370102 化学制剂 851512
370200 中药 801155
370201 中药 851521
370300 生物制品 801152
370301 生物制品 851531
370400 医药商业 801154
370401 医药商业 851541
370500 医疗器械 801153
370501 医疗器械 851551
370600 医疗服务 801156
370601 医疗服务 851561
450000 商业贸易 801200
450300 一般零售 801203
450301 百货 852031
450302 超市 852032
450303 多业态零售 852033
450400 专业零售 801204
450401 专业连锁 852041
450500 商业物业经营 801205
450501 一般物业经营 852051
450502 专业市场 852052
450200 贸易 801202
450201 贸易 852021
460000 休闲服务 801210
460100 景点 801212
460101 人工景点 852111
460102 自然景点 852112
460200 酒店 801213
460201 酒店 852121
460300 旅游综合 801214
460301 旅游综合 852131
460400 餐饮 801211
460401 餐饮 852141
460500 其他休闲服务 801215
460501 其他休闲服务 852151
270000 电子 801080
270100 半导体 801081
270101 集成电路 850811
270102 分立器件 850812
270103 半导体材料 850813
270200 元件 801083
270202 印制电路板 850822
270203 被动元件 850823
270300 光学光电子 801084
270301 显示器件 850831
270302 LED 850832
270303 光学元件 850833
270500 电子制造 801085
270501 电子系统组装 850851
270502 电子零部件制造 850852
270400 其他电子 801082
270401 其他电子 850841
710000 计算机 801750
710100 计算机设备 801101
710101 计算机设备 851021
710200 计算机应用 801222
710201 软件开发 852225
710202 IT服务 852226
720000 传媒 801760
720100 文化传媒 801761
720101 平面媒体 852241
720102 影视动漫 852242
720103 有线电视网络 852224
720104 其他文化传媒 852244
720200 营销传播 801751
720201 营销服务 852243
720300 互联网传媒 801752
720301 互联网信息服务 852221
720302 移动互联网服务 852222
720303 其他互联网服务 852223
730000 通信 801770
730100 通信运营 801223
730101 通信运营 852211
730200 通信设备 801102
730201 终端设备 851012
730202 通信传输设备 851013
730203 通信配套服务 851014
410000 公用事业 801160
410100 电力 801161
410101 火电 851611
410102 水电 851612
410103 燃机发电 851613
410104 热电 851614
410105 新能源发电 851615
410200 水务 801164
410201 水务 851621
410300 燃气 801163
410301 燃气 851631
410400 环保工程及服务 801162
410401 环保工程及服务 851641
420000 交通运输 801170
420100 港口 801171
420101 港口 851711
420200 高速公路 801175
420201 高速公路 851731
420300 公交 801172
420301 公交 851721
420400 航空运输 801173
420401 航空运输 851741
420500 机场 801174
420501 机场 851751
420600 航运 801176
420601 航运 851761
420700 铁路运输 801177
420701 铁路运输 851771
420800 物流 801178
420801 物流 851781
430000 房地产 801180
430100 房地产开发 801181
430101 房地产开发 851811
430200 园区开发 801182
430201 园区开发 851821
480000 银行 801780
480100 银行 801192
480101 银行 851911
490000 非银金融 801790
490100 证券 801193
490101 证券 851931
490200 保险 801194
490201 保险 851941
490300 多元金融 801191
490301 多元金融 851921
510000 综合 801230
510100 综合 801231
510101 综合 852311
